id,Категория
50,0
728,0
1641,0
1318,0
213,0
2625,0
88,0
1006,0
2498,0
2391,0
1707,0
1557,0
544,0
2871,0
2931,0
643,0
2653,0
618,0
2896,0
1815,0
569,0
1554,0
1608,0
953,0
189,0
1208,0
1563,0
417,0
2795,0
1346,0
1757,0
611,0
1360,0
1678,0
2231,0
1197,0
2882,0
1843,0
2724,0
1212,0
1899,0
2992,0
289,0
1272,0
3000,0
1438,0
737,0
1229,0
112,0
1692,0
1107,0
1254,0
681,0
2094,0
121,0
232,0
2163,0
2584,0
2987,0
965,0
2744,0
1785,0
1718,0
2577,0
1831,0
677,0
556,0
298,0
2593,0
638,0
1217,0
2580,0
2958,0
1037,0
1111,0
804,0
366,0
2516,0
2643,0
89,0
1178,0
1310,0
1134,0
465,0
680,0
1625,0
264,0
2548,0
333,0
508,0
348,0
13,0
808,0
1609,0
868,0
1928,0
1231,0
2968,0
2021,0
1299,0
284,0
2483,0
222,0
2128,0
890,0
463,0
1614,0
1100,0
1698,0
2100,0
277,0
262,0
795,0
558,0
2175,0
719,0
2788,0
425,0
946,0
332,0
534,0
1711,0
1175,0
706,0
1104,0
1476,0
2709,0
720,0
2553,0
1955,0
1126,0
2317,0
1621,0
2032,0
1994,0
1588,0
2565,0
1629,0
77,0
2468,0
2745,0
1728,0
101,0
1624,0
2237,0
1737,0
411,0
2359,0
1967,0
1019,0
802,0
142,0
1412,0
2269,0
1270,0
367,0
1256,0
2070,0
2415,0
1303,0
2859,0
1779,0
369,0
1877,0
2588,0
806,0
1905,0
2154,0
209,0
2469,0
1030,0
1242,0
2910,0
2395,0
1848,0
2973,0
1317,0
2564,0
2093,0
2098,0
1671,0
1222,0
1764,0
1776,0
2568,0
2526,0
2542,0
523,0
2133,0
368,0
2244,0
2257,0
2478,0
2536,0
464,0
1492,0
2273,0
2923,0
1300,0
1583,0
1585,0
1548,0
1814,0
1993,0
621,0
2726,0
799,0
2604,0
2874,0
539,0
382,0
171,0
756,0
105,0
1058,0
145,0
462,0
2439,0
153,0
510,0
507,0
2220,0
440,0
2348,0
110,0
784,0
2678,0
760,0
2292,0
241,0
1361,0
613,0
2067,0
1581,0
1607,0
407,0
765,0
2285,0
472,0
46,0
1237,0
1642,0
543,0
2594,0
1162,0
1436,0
979,0
1245,0
2384,0
1886,0
2794,0
1869,0
645,0
316,0
548,0
1205,0
64,0
1805,0
2539,0
2482,0
860,0
938,0
31,0
2459,0
2180,0
1092,0
766,0
651,0
1710,0
403,0
1475,0
2743,0
1746,0
1411,0
2695,0
2632,0
1965,0
1552,0
2025,0
648,0
2902,0
461,0
2320,0
2184,0
2918,0
1458,0
247,0
1265,0
439,0
1799,0
1463,0
1324,0
627,0
252,0
1049,0
1601,0
2214,0
174,0
522,0
865,0
1011,0
1362,0
103,0
2343,0
2041,0
2377,0
57,0
977,0
1074,0
487,0
790,0
1910,0
603,0
2969,0
1964,0
2168,0
409,0
2842,0
260,0
234,0
1414,0
1883,0
788,0
773,0
1666,0
2165,0
1339,0
196,0
2898,0
1038,0
1079,0
239,0
2137,0
991,0
140,0
1012,0
1558,0
53,0
481,0
966,0
2688,0
832,0
8,0
768,0
255,0
1352,0
650,0
1466,0
2177,0
566,0
1323,0
820,0
2114,0
175,0
1802,0
185,0
415,0
2602,0
446,0
227,0
963,0
2997,0
2894,0
125,0
1269,0
499,0
164,0
1809,0
195,0
1544,0
857,0
2502,0
169,0
2720,0
912,0
2473,0
2002,0
930,0
2316,0
1761,0
1731,0
1375,0
2401,0
416,0
2209,0
431,0
2360,0
1495,0
1089,0
2079,0
1740,0
2371,0
606,0
240,0
1371,0
1488,0
2772,0
486,0
2112,0
1223,0
97,0
708,0
433,0
2738,0
2651,0
1211,0
2707,0
362,0
1789,0
1570,0
280,0
678,0
2668,0
555,0
273,0
2646,0
1331,0
2840,0
2234,0
1095,0
2405,0
1002,0
354,0
2645,0
1344,0
2721,0
2031,0
663,0
2013,0
2416,0
193,0
1136,0
2454,0
267,0
782,0
2354,0
2835,0
136,0
835,0
1503,0
2304,0
1766,0
1378,0
1125,0
2756,0
2528,0
473,0
1742,0
941,0
2210,0
1873,0
211,0
1560,0
212,0
2373,0
2863,0
786,0
2167,0
220,0
292,0
26,0
1747,0
2131,0
2839,0
715,0
1941,0
529,0
2543,0
257,0
2986,0
904,0
908,0
694,0
1833,0
2868,0
2275,0
1602,0
1028,0
1726,0
2176,0
2780,0
2669,0
60,0
81,0
2891,0
2812,0
179,0
528,0
167,0
1398,0
2529,0
1365,0
2762,0
749,0
1513,0
2995,0
2365,0
840,0
2376,0
1921,0
1262,0
762,0
2966,0
2351,0
2690,0
1519,0
582,0
1567,0
2682,0
633,0
1801,0
574,0
1942,0
2334,0
1045,0
1836,0
2850,0
2530,0
2944,0
1767,0
1103,0
554,0
2288,0
933,0
1430,0
2046,0
44,0
253,0
2619,0
2518,0
2524,0
1577,0
2567,0
