id,Текст Сообщения,Тематика,Ответственное лицо,Категория
849,"<p>Добрый день. Сегодня 17.08.2021 напротив моего дома произошло ДТП с участием пешехода. Не так давно проводилось благоустройство парка и был выложен из тротуарной плитки выход из этого самого парка к дороге. К сожалению, переход через проезжую часть от этого выхода не был обезопасен пешеходным переходом. Данный участок дороги уже на протяжении многих лет является наиболее кротчайшим способом попасть через проезжую часть в частный сектор построек и пользуется большой популярностью у граждан престарелого возраста и школьников. Переход со светофором, который был установлен недалеко от этого места не исправил ситуацию и люди как переходили дорогу ниже по направлению к АПЗ-20, так и переходят. Прошу Вас рассмотреть вариант установки знака “Пешеходный переход” и нанесение соответствующей разметки на данном участке с целью предотвращения возможных несчастных случаев с участием пешеходов, а также для урегулирования скоростного режима транспортных средств, которые многократно превышают скоростной лимит на данном участке дороги в ночное время суток, тем самым подвергая дополнительной опасности граждан. Благодарю за содействие. Роман</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
1240,"<p>На улице Разина от 9 дома практически полностью отсутствует тратуар. Приходится взрослым и детям &nbsp;ходить по проезжей части дороги, что не безопасно., так как по тратуар вообще не реально пройти-можно остаться без ног,. Улица идёт под гору, что приводит к постоянным проблемам особенно в зимний период. Очень надеюсь на ваше решение проблемы! Уличком</p>",Необходимо строительство тротуара,Комитет дорожного хозяйства города Курска,3
1381,"<p>Отсутствует освещение дороги&nbsp;</p><p>от начала проспекта Победы, в том числе, в районе пешеходного перехода от остановки Метеостанции со стороны улицы Тамчишина вдоль Аллеи Славы, что создает опасность аварийной ситуации.</p>",Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3
2295,Прошу включить меня и мою семью в очередь на получение материальной помощи,Социальные льготы,Администрация города Курска,6
1650,"<p>Здравствуйте.Так как в ранее написанном сообщении <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`>126712, не была вовремя решена описанная проблема,хотелось бы напомнить о ней снова.В сообщении №126712 было написано,что Администрацией ЦО,было направленно </span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>уведомление в адрес ТСЖ № 102&nbsp;о необходимости проведения работ по наведению должного санитарного порядка по указанному адресу.Хотелось бы попросить администрацию,чтобы она повторно направила уведоление ТСЖ 102,с напоминанием о необходимости наведения санитарного порядка,так как на данном участке мусор и сухая листва продолжают лежать)Так же хочется попросить убрать наконец-то сухой пень который лежит уже года два после выкорчевывания.</span></p>",Неудовлетворительное содержание клумб и газонов,Администрация Центрального округа города Курска,3
502,"<p>Добрый день! Просьба разобраться в ситуации, возникшей в доме по ул. Орловской 1, подъезд 5. Вечером 14 июня 2021 была отключена подача холодной воды с связи с прорывом в одной из квартир. Сегодня, 16 июня 2021 планово отключена горячая вода по всему северо-западному микрорайону. По итогу, в квартире нет ни холодной, ни горячей воды. Управляющая компания Жилкомплекс &nbsp;Дружба ситуацию не решает. &nbsp;В квартире нет ни капли воды, что делать жильцам и несовершеннолетним детям, проживающим в данном подъезде?</p>",Некачественное водоснабжение многоквартирного дома,Администрация города Курска,3
2353,Засореная ливневая канализация.,Ливневая канализация,Администрация города Курска,3
2182,"Постоянно убираем территорию между крайними домами на проспекте Анатолия Дериглазова и СНТ «Фестивальное», но «воз и ныне там», по информации от дачников земельный участок, на котором помойка 24 на 7, продан председателем СНТ и у этого несанкционированного полигона с отходами есть хозяева. Кто виноват и что делать? У нас и квартира на Дериглазова и дачный участок в СНТ «Фестивальное», эта ситуация уже достала, где баки СНТ? Непонятно! 1 или 2 бака на такое огромное СНТ это позор, но не повод гадить.",Несанкционированные свалки твёрдых бытовых отходов,Комитет природных ресурсов Курской области,16
1086,"<p>Напротив оп 412 км (по жд) воляются спилинные ветки, и очень много мусора, хотелось бы что бы собственник инфраструктуры навёл порядок возле своего места, а также до конца выпилил все дикоростущие растения. Вы понимаете что часть сухих веток там воляются, сейчас наша безумная молодёж может взять и пополнить, а рядом дома, там погорит все.&nbsp;</p><p>Надеюсь на понимание.&nbsp;</p>",Нарушение правил пожарной безопасности в сфере природопользования,Администрация Курчатовского района,16
1540,"<p>В подвале дома <span style=`color:rgb(34,34,204);`>по адресу ул.Запольная, д.41а</span> произошел прорыв канализационной трубы. Канализационные стоки не удалены, появилось большое количество мошки. Наша стоматология `Эстедент` находится через стенку от подвального помещения, вся мошка и неприятный запах переходит в медицинское учреждение!!! Поступают жалобы от пациентов и сотрудников стоматологии!!! В таких условиях работать невозможно!!!</p><p>10 февраля 2022г. &nbsp;на почту &nbsp;ООО “УК Курска” и в диспетчерскую службу УК была оставлена заявка на проведение дезинсекции в подвальном помещении, с просьбой в кратчайшие сроки решить эту проблему!&nbsp;</p><p>На&nbsp; 16.02.2022г. проблема не решена, дезинсекция не проведена,канализационные стоки не удалены, мошки в огромном количестве &nbsp;благополучно летают в подвале, мы лично убедились в этом, посетив его, и &nbsp;медицинском учреждении! &nbsp;Каждый день звоним в ук, результата нет, сегодня дозвониться не удалось!&nbsp;В подтверждение прикрепляю фото подоконника в кабинете стоматологии и заявку в ООО “УК Курска” от лица директора клиники.</p><p>Убедительная просьба помочь с решением этой проблемы, т.к. из-за невыполнения обязанностей “УК &nbsp;Курска”, мы находимся в антисанитарийных условиях!</p><p><br data-cke-filler=`true`></p>",Длительное неисполнение заявок управляющей компанией,Государственная жилищная инспекция Курской области,3
1963,"По программе «год дорог» проходили работы при которых проходил ремонт дорожного полотна в районе дома Белгородская 20, знак по завершению убрали, а штыри в земле остались, я паркуясь разодрал дно авто и повис на них, прошу срезать или извлечь их в кратчайшие сроки",Дорожные знаки на дорогах в микрорайонах ИЖС,Администрация города Курска,0
1190,"<p>Здравствуйте! На ул. Энгельса (слева от здания ИФНС по г. Курску) расположен поврежденный столб уличного освещения, прошу обратить внимание на этот объект и решить его дальнейшую судьбу.</p>",Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3
2714,Добрый день на данной территории по улице республиканская около дороги с двух сторон от дороги новая республикаеская от магазина полет до магазина пятёрочка зарастает бурьяном примите меры по покосу травы. Спасибо.,Неудовлетворительное содержание клумб и газонов,Комитет дорожного хозяйства города Курска,3
1415,"<p>Прошу Вас сделать рейт по масочному режиму для маршруток Курск-Теткино-Курск, Курск-Белгород-Курск и т.д. Ост. Льговский поворот. И посмотрите что Ваш масочный режим не соблюдает даже обслуживающий персонал (водитель). В ходе рейда прошу делать фотки.&nbsp;</p><p>С учетом того что я недавно ехала и в маршрутке было 8 пассажиров с учетом водителя без масок, разумеется у Вас не получиться 5-6 протоколов, если что то успел надеть маску при виде Вас надо тоже составлять протокол. Надеюсь на понимание, и на фотоотчет.&nbsp;</p><p>А вообще Вам надо вести неприрывную видео-фиксацию дляпотверждения нарушения.&nbsp;</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8
1180,"<p>Прошу Вас включить освещения, для того что бы люди могли идти по освещенному тротуару от вокзала.</p><p>О проделанной работе прошу прислать фотоотчет.</p>",Неработающее наружное освещение,Администрация Курчатовского района,3
1880,Не работает часть уличного освещения на ул. Дейнеки,Неработающее наружное освещение,Администрация города Курска,3
259,"<p>Добрый день! После регулировки светофоров на данном участке светофор на главной дороге стал работать некорректно: когда у водителей горит жёлтый сигнал, у пешеходов загорается зелёный, происходит одновременное движение автомобилей и пешеходов. Рядом находится Дворец пионеров, в котором занимаются тысячи детей. Неоднократно на моих глазах чуть не сбивали людей. Прошу принять меры, спасибо!</p>",Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
2010,"По дороге от ул. Карла Маркса в сторону п. Искра сплошные ямы, ямочный ремонт сделали абы как, швы на дороге битумной смесью не пролили. Прошу сделать качественно !!!",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет транспорта и автомобильных дорог Курской области,0
699,"<p>07.06.2021г.Филиал ПАО “Квадра-Курская генерация ”приступила к ремонту тепловых сетей по адресу г.Курск ул.50 лет Октября 106.Разрыли,частично огородили и на этом ремонт закончился,до настоящего времени ремонтные работы не проводились.Сегодня 27.07.2021г все ограждения забрали,ямы все открыты,из-за обвала существует угроза для людей и транспорта. Прошу принять меры.</p>",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
1696,"<p>Здравствуйте. Я житель улицы Попова не однократно уже обращался в администрацию города с проблемой постройки ливневой канализации на данной улице. Конструктивно улица не имеет тротуара и вовремя дождей и таянья снега по улице не возможно пройти людям и школьникам из-за огромной лужи, им приходиться преодолевать ее чуть ли не вброд. Прошу Вас принять меры по решению данной проблемы.</p>",Ливневая канализация,Комитет городского хозяйства города Курска,3
335,"<p>Хочется сообщить о проблеме,которая появилась по ул.50 лет Октября,остановка Большевиков в сторону северо-запада.Рядом с остановкой есть зеленый забор,так вот в доль &nbsp;этого забора уже длительное время валяется много веток и мусора.Если данные ветки кто нибудь запалит,то может возникнуть пожаро-опастная проблемма.</p>",Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3
926,"<p>Очередные сутки подряд сильная вонь от Грибной радуги, на улице невозможно находится продолжительное время, окна в доме открыть нельзя. Вы будете прдпринимать реальные меры или нет??? От Ваших ответов про разные исследования и расследования результата никакого, вонь как была, так и осталась.&nbsp;</p>",Неприятные запахи,Комитет природных ресурсов Курской области,16
982,"<p>Здравствуйте! Заливает весь подьезд с ерыши через люк чердака. Ремонтировали крышу и что-то плохо изолировали. Заявка по телефону 112 мной передана. У меня кв. 82 - 4-й этаж. Мне позвонила Бобринева Лена из кв. 85 и сообщила о проблеме, по стене ее квартиры в прихожей течет вода в мою квартиру. Меры до сих пор не приняты, к сожалению. Служба 112 сообщила в Управляющую компанию и в Следственный комитет. Вода затапливает всеквартиры в подьезде, т.к. заявки были и из др. квартир. Благодарим Вас за помощь и понимание. Написала Вам также в Директ в инстаграме.</p>",Длительное неисполнение заявок управляющей компанией,Государственная жилищная инспекция Курской области,3
1631,"<p>Здравствуйте. Пришла весна и из-под снега, как и все года до, в лесополосе по улице Сосновой вылезли тонны мусора. Повалены деревья, напротив магазинов и за ними огромное количество бутылок, мусора. Лес не чистился никогда! ходить и гулять там с детьми невозможно, а это единственный лесок для всего поселка где можно гулять с колясками, укрыться от жары и он очень важен в отделении нас от дороги на Курчатов и очистных. Но наша администрация не прилагает никаких усилий,чтобы очистить данный участок леса для населения, поэтому с каждым годом он всё больше приходит в негодность, заваливается мусором.</p><p>Очень прошу обратить внимание на данную проблему и решить ее мероприятиями по уборке прилегающей к дороге части леса и дальней полной расчистке силами администрации и субботниками, не только вокруг здания администрации Черным отмечены места где наибольшее количество мусора</p>","Неудовлетворительное содержание фасадов зданий и сооружений, общественных мест",Администрация Курского района,3
210,"<p>Добрый день!<br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>Напротив домов №31 и №30 по ул. Ромашковой г.Курска при укладке асфальта не была спланирована его поверхность (глубокая впадина), которая после любого дождя заполняется водой. Данный вопрос местные власти не могут решить с 2017 года!!!! А пока все думают и решают жители ул. Ромашковой, проживая в городе, ходят на работу, в школу, магазин и пр. в резиновых сапогах. Прошу Вас вмешаться и оказать помощь в решении проблемы людей этой улицы, так как на данный момент эта проблема стоит особенно остро в период обильных проливных дождей и таяния снега. Заранее благодарна)))</span></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
2647,"Здравствуйте, возможно ли спилить сухое дерево и ветки",Аварийные деревья,Комитет природных ресурсов Курской области,3
889,<p>Не пришёл qr-код</p>,Сертификат вакцинированного,Комитет здравоохранения Курской области,4
2851,Отсутствие люка.,Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
2162,Предлагаю провести проверку качества данного хлеба и соблюдения технологии производства в целом на заводе. В хлебе обнаружена мышиная какашка,"Неудовлетворительное качество товара, оказания услуги",Комитет агропромышленного комплекса Курской области,13
1367,"<p>Почему когда чистили улицу Суворовскую от снега, то карман для маршрутки не почистили? Его завалили снегом когда ехала уборочная машина и так и оставили!!! Маршрутка теперь останавливается не на остановке а на дороге! Это мешает и машинам и опасно для пассажиров!!! Маршрутка теперь в метрах 4 от положенного кармана паркуется!!! На фото я указала где остановка и видео Как далеко от Кармана остановки стоит маршрутка! Стоит просторна дороге! И пассажирам приходится перебираться через груду снега, которая оставила снегоуборочная машина!&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
1600,"<p>Здравствуйте. Несколько раз обращались в УК Сейм по поводу свисающих проводов над козырьком 3 подъезда, провода так и висят. Там свисают 3 провода, один из них раздвоен и &nbsp;подходит к светильнику над подьездом. Жильцы опасаются замыкания. Один из проводов попадает в окна людей и стук невозможный. Все провода на внешней стороне дома и подвергаются воздействию осадков, в частности воды. Посодействуйте пожалуйста, чтобы эти провода убрали!!!!&nbsp;</p>",Ненадлежащее исполнение управляющей компанией работ по содержанию электросети и обеспечению энергоснабжением в многоквартирных домах,ООО `УК Сейм`,3
1610,"<p>Когда Сергеевкий ФАП обновят? В здании трещины в стенах, протекает крыша, печное отопление. В каких условиях принимают пациентов? Надеюсь что в 2022 году Сергеевского фельдшерско-акушерский пункт во Льговском районе заменят на новый, комфортный и современный.&nbsp;</p><p>Ответ на жалобу прислать разъяснительную с применениями фактов о ФАПе.&nbsp;</p>",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4
2934,Сбоку дома улКарла Маркса 66/8 свалка бытового и строительного мусора.,Несанкционированные свалки твёрдых бытовых отходов,Комитет городского хозяйства города Курска,16
2828,"По адресу : проспект Хрущева 36, расположены две контейнерные площадки для мусора. Одна из площадок, которая находится непосредственно рядом с Сельско-Хозяйственным рынком,  находится  в отвратительном состоянии. Эти контейнеры через металлический лист (который отделяет рынок от двора) постоянно подвергаются многочисленным нашествием крыс, которые под металлическим листом добираются до мусорных контейнеров, которые расположены во дворе. Неоднократно от собственников жилья поступали жалобы в соответствующие органы власти, однако реальных мер до сих пор так и не было принято. Опасно заходить во двор, т. к. проходить приходится непосредственно около этих мусорных баков (проживаю в 1 подъезде, рядом).  Страшно выкидывать мусор, т.к. при таком огромном количестве опасных грызунов в первую очередь боишься о своём здоровье. Прошу принять конкретные меры, т. к. предостережения, смена графика вывоза мусора Рынка и прочее (это уже было) не принесло никаких результатов.",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
